"X"	"Y"	"Classes"
2.515480 	0.12889305  	"first"
3.649102 	0.53778895  	"first"
3.697834 	0.97510797  	"first"
2.950751 	0.92657001  	"first"
3.927163 	0.10500547  	"first"
2.630905 	0.60139945 	"first"
2.519938 	0.42321925  	"first"
2.686575 	1.54381910  	"first"
2.366365 	0.06145576  	"first"
2.181563 	0.81015791  	"first"
1.874505 	2.05615228	"first"
3.866405 	1.48834816  	"first"
2.909798 	1.64609189 	"first"
3.095808 	0.39503270 	"first"
3.298886	0.96996480  	"first"
2.722350 	1.76831617  	"first"
2.021749 	1.34377976  	"first"
3.175493 	1.09921231  	"first"
3.304848 	2.62038233  	"first"
2.386180	2.29825393	"first"
4.942777 	3.431071 	"second"
3.104577 	3.310180 	"second"
4.777884 	2.717204 	"second"
3.623268 	2.576064 	"second"
3.215048 	3.146069 	"second"
3.822693 	1.965571 	"second"
4.698779 	2.850284 	"second"
4.711240 	2.819124 	"second"
3.488841 	2.675327 	"second"
2.768854 	1.613514 	"second"
4.236764 	2.093973 	"second"
3.588222 	2.641115 	"second"
4.447840 	4.084645 	"second"
4.378369 	3.488374 	"second"
5.024910	3.103361 	"second"
4.282076 	2.613912 	"second"
3.639920 	2.384276 	"second"
3.235213 	2.771268 	"second"
3.987506 	3.217125 	"second"
3.819212 	4.163353 	"second"
3.688767 	4.199532 	"second"
3.539247 	3.229188 	"second"
4.909194 	4.013317 	"second"
4.386772 	2.761282 	"second"
4.122792 	3.125030 	"second"
4.839037 	3.412312 	"second"
4.599303 	2.755308 	"second"
4.786998 	2.733594 	"second"
3.934757 	3.842752 	"second"
3.368395	3.442953	"second"
4.085666 	3.331480 	"second"
4.531355 	3.479609 	"second"
4.300081 	2.795655 	"second"
4.683238 	2.542180 	"second"
4.273699 	4.089719 	"second"
2.754617 	3.110434 	"second"
5.078305 	2.815530 	"second"
3.932154 	2.526795 	"second"
3.649973 	1.234813 	"second"
4.381211	2.226285	"second"
